Order ID,Order Date,Ship Date,Delivery Date,Product type,SKU,Category,Price,Discount (%),Price_After_Discount,Number of products sold,Units Returned,Return Reason,Revenue generated,Profit,Customer Satisfaction Score,Customer demographics,Sales Channel,Payment Method,Region,Stock levels,Reorder Point,Stockout Risk,Lead time,Shipping times,Shipping costs,On-Time Delivery,Supplier name,Supplier Reliability Score,Manufacturing costs,Quality Score,Defect rates,Production volumes,Carrier Name,Transportation Mode
ORD1010,10/11/2024,12/11/2024,15/11/2024,Smartwatches,SKU0010,Mid-Range,186.17,5.4,176.12,135,16,Defective,23776.2,11293.16,2.2,Non-binary,Wholesale,Invoice,South,99,36,No,3,3,9.04,Yes,Supplier 4,0.584,92.4,54.04,4.5962,351,DHL,Road
ORD1011,17/06/2023,18/06/2023,19/06/2023,Headphones,SKU0011,Premium,261.6,13.16,227.17,332,5,Changed Mind,75420.44,33448.68,4.5,Unknown,Wholesale,Cash,West,219,277,Yes,15,1,80,Yes,Supplier 3,0.877,126.18,76.32,2.3684,873,OnTrac,Road
ORD1012,25/05/2023,30/05/2023,31/05/2023,Headphones,SKU0012,Mid-Range,98.79,7.53,91.35,432,55,Defective,39463.2,19892.45,2,Unknown,Retail Store,Invoice,North,109,418,Yes,15,1,96.19,Yes,Supplier 3,0.351,45.08,0.97,9.9027,569,UPS,Sea
ORD1013,11/01/2023,14/01/2023,15/01/2023,Headphones,SKU0013,Budget,36.82,13.46,31.86,395,29,Defective,12584.7,7156.52,3.6,Non-binary,Wholesale,Bank Transfer,North,80,316,Yes,16,1,20.63,Yes,Supplier 5,0.716,13.69,65.09,3.4911,554,FedEx,Road
ORD1014,06/07/2023,08/07/2023,13/07/2023,Laptops,SKU0014,Mid-Range,753.29,9.93,678.49,133,16,Damaged in Shipping,90239.17,54300.41,2.4,Non-binary,Wholesale,Bank Transfer,East,78,128,Yes,15,5,157.77,Yes,Supplier 4,0.684,269.03,82.18,1.7815,218,UPS,Sea
ORD1015,22/04/2022,25/04/2022,07/05/2022,Smartwatches,SKU0015,Premium,660.85,4.49,631.18,452,40,Wrong Item,285293.36,126655.71,2.8,Unknown,B2B,Cash,East,199,512,Yes,20,12,378.89,Yes,Supplier 5,0.654,350.13,58.33,4.167,861,UPS,Air
ORD1016,11/04/2022,12/04/2022,15/04/2022,Smartwatches,SKU0016,Mid-Range,164.56,7.91,151.54,151,7,Defective,22882.54,10007.3,4,Non-binary,Online,Cash,West,80,111,Yes,7,3,47.79,Yes,Supplier 1,0.592,84.95,22.77,7.7226,810,FedEx,Road
ORD1017,21/01/2024,26/01/2024,27/01/2024,Tablets,SKU0017,Premium,950.37,7.93,875.01,355,23,Changed Mind,310628.55,181560.81,3.7,Non-binary,Wholesale,Cash,North,143,189,Yes,14,1,14.59,Yes,Supplier 2,0.864,363.53,97.74,0.226,844,FedEx,Road
ORD1018,27/09/2024,28/09/2024,30/09/2024,Laptops,SKU0018,Premium,1808.53,4.63,1724.8,354,16,Damaged in Shipping,610579.2,415833.83,3.8,Male,Wholesale,Cash,North,283,330,Yes,22,2,38.29,Yes,Supplier 3,0.538,550.02,7.72,9.2282,669,FedEx,Road
ORD1019,16/12/2022,19/12/2022,27/12/2022,Tablets,SKU0019,Mid-Range,344.06,3.02,333.67,20,2,Defective,6673.4,3490.85,2.4,Female,Wholesale,Credit Card,West,153,8,No,6,8,44.55,No,Supplier 5,0.553,156.9,46.12,5.3877,648,FedEx,Road
ORD1020,02/09/2024,06/09/2024,12/09/2024,Smartphones,SKU0020,Budget,180.05,1.46,177.42,294,1,Wrong Item,52161.48,26807.8,4.7,Female,Online,Cash,West,191,147,No,10,6,5,Yes,Supplier 2,0.746,86.22,37.94,6.2061,818,UPS,Road
ORD1021,28/04/2022,02/05/2022,05/05/2022,Smartphones,SKU0021,Mid-Range,538.37,10.03,484.37,148,7,Not as Described,71686.76,33767.14,3.9,Male,Wholesale,Digital Wallet,East,59,133,Yes,15,3,16.82,Yes,Supplier 4,0.68,256.1,45.3,5.4696,1048,UPS,Road
ORD1022,11/03/2024,12/03/2024,14/03/2024,Smartphones,SKU0022,Mid-Range,207.02,8.51,189.4,260,20,Changed Mind,49244,32006.23,3.3,Female,Wholesale,Cash,East,131,95,No,4,2,85.57,Yes,Supplier 3,0.517,65.97,17.8,8.2203,989,UPS,Sea
ORD1023,31/05/2022,02/06/2022,03/06/2022,Laptops,SKU0023,Premium,2446,4.98,2324.19,466,41,Not as Described,1083072.54,572259.51,2.7,Female,Online,Invoice,North,269,311,Yes,20,1,7.13,Yes,Supplier 2,0.807,1096.15,96.04,0.3958,772,FedEx,Road
ORD1024,12/11/2022,13/11/2022,15/11/2022,Headphones,SKU0024,Budget,51.83,9.8,46.75,46,7,Not as Described,2150.5,945.82,1.8,Unknown,B2B,Bank Transfer,North,259,21,No,3,2,5,Yes,Supplier 3,0.685,26.08,94.13,0.5866,981,FedEx,Road
ORD1025,02/02/2023,07/02/2023,09/02/2023,Smartwatches,SKU0025,Mid-Range,177.49,7.84,163.57,206,4,Changed Mind,33695.42,18975.02,4.5,Female,Direct Sales,Digital Wallet,South,61,124,Yes,16,2,40.84,Yes,Supplier 3,0.954,71.26,97.75,0.2249,777,Aramex,Road
ORD1026,10/03/2022,12/03/2022,15/03/2022,Smartwatches,SKU0026,Budget,76.83,2.62,74.82,462,61,Wrong Item,34566.84,16778.38,2.2,Non-binary,Retail Store,Invoice,East,50,231,Yes,12,3,80,Yes,Supplier 1,0.543,38.33,51.78,4.8215,777,UPS,Sea
ORD1027,01/09/2024,06/09/2024,07/09/2024,Smartphones,SKU0027,Premium,860.99,10.22,773,154,23,Not as Described,119042,52284.27,1.8,Unknown,Retail Store,Credit Card,Central,164,123,No,24,1,15.67,Yes,Supplier 4,0.563,433.39,65.29,3.4707,672,UPS,Road
ORD1028,21/08/2022,26/08/2022,30/08/2022,Laptops,SKU0028,Mid-Range,1037.17,2.24,1013.94,148,5,Not as Described,150063.12,67581.26,4,Male,Wholesale,Cash,East,94,30,No,4,4,108.02,Yes,Supplier 1,0.75,556.58,53.97,4.6027,255,FedEx,Sea
ORD1029,07/10/2022,08/10/2022,16/10/2022,Laptops,SKU0029,Budget,351.27,9.71,317.16,399,13,Not as Described,126546.84,77899.6,4.2,Female,Direct Sales,Invoice,East,82,466,Yes,16,8,176.72,Yes,Supplier 5,0.672,121.48,33.96,6.6042,506,UPS,Sea
ORD1030,15/11/2023,20/11/2023,24/11/2023,Tablets,SKU0030,Premium,679.37,1.94,666.19,201,29,Changed Mind,133904.19,61131.09,1.4,Female,Direct Sales,Credit Card,East,94,208,Yes,14,4,5.07,Yes,Supplier 2,0.322,362.03,2.26,9.7736,1127,FedEx,Road
ORD1031,27/09/2023,28/09/2023,06/10/2023,Smartphones,SKU0031,Mid-Range,513.5,14.47,439.2,176,17,Defective,77299.2,44090.43,2.6,Unknown,B2B,Credit Card,Central,150,70,No,7,8,251.01,No,Supplier 2,0.416,187.26,2.34,9.7661,343,UPS,Air
ORD1032,20/01/2023,22/01/2023,02/02/2023,Tablets,SKU0032,Premium,687.88,0.92,681.55,294,22,Not as Described,200375.7,89865.69,3.3,Female,Wholesale,Bank Transfer,East,175,265,Yes,23,11,80.67,Yes,Supplier 5,0.483,375.61,8.43,9.1573,676,UPS,Sea
ORD1033,24/07/2022,28/07/2022,09/08/2022,Laptops,SKU0033,Mid-Range,1084.71,8.66,990.77,356,51,Defective,352714.12,168344.48,1.7,Non-binary,Retail Store,Cash,North,260,285,Yes,7,12,250,No,Supplier 5,0.327,517.19,3.16,9.684,647,DHL,Air
ORD1034,28/04/2022,03/05/2022,10/05/2022,Smartwatches,SKU0034,Premium,766.33,12.21,672.76,71,10,Defective,47765.96,20571.87,1.5,Non-binary,Direct Sales,Bank Transfer,East,22,62,Yes,11,7,117.53,Yes,Supplier 3,0.41,381.36,26.5,7.3505,591,Blue Dart,Sea
ORD1035,29/06/2024,01/07/2024,07/07/2024,Laptops,SKU0035,Mid-Range,968.99,1.37,955.71,176,15,Defective,168204.96,114936.26,3,Male,Retail Store,Cash,South,253,141,No,15,6,81.5,Yes,Supplier 2,0.587,302.2,39.22,6.0781,601,FedEx,Sea
ORD1036,12/10/2022,13/10/2022,15/10/2022,Laptops,SKU0036,Budget,434.04,14.63,370.54,127,3,Defective,47058.58,18198.72,4.5,Unknown,Online,Digital Wallet,West,72,157,Yes,23,2,39.75,Yes,Supplier 1,0.64,226.93,22.12,7.7879,1012,FedEx,Road
ORD1037,20/11/2022,24/11/2022,05/12/2022,Smartwatches,SKU0037,Premium,762.75,6.02,716.83,374,7,Damaged in Shipping,268094.42,113596.52,4.4,Male,Wholesale,Digital Wallet,Central,187,274,Yes,12,11,649.26,Yes,Supplier 4,0.928,411.36,91.64,0.8357,856,UPS,Air
ORD1038,07/01/2024,09/01/2024,16/01/2024,Smartphones,SKU0038,Mid-Range,352.42,6.98,327.82,373,15,Damaged in Shipping,122276.86,82489.95,3.8,Unknown,Online,Digital Wallet,Central,86,460,Yes,18,7,81.06,Yes,Supplier 4,0.831,106.45,77.42,2.2577,691,DHL,Sea
ORD1039,23/10/2022,24/10/2022,28/10/2022,Headphones,SKU0039,Mid-Range,195.75,9.85,176.47,200,13,Wrong Item,35294,21298.65,3.3,Unknown,B2B,Invoice,Central,204,73,No,9,4,365.35,Yes,Supplier 3,0.541,68.15,16.84,8.3161,924,UPS,Air
ORD1040,28/05/2023,30/05/2023,31/05/2023,Laptops,SKU0040,Premium,1649.4,10.64,1473.9,13,1,Defective,19160.7,9037.41,2.7,Male,Direct Sales,Cash,South,137,10,No,6,1,5,Yes,Supplier 1,0.701,778.33,72.19,2.7813,498,DHL,Road
ORD1041,29/08/2024,30/08/2024,08/09/2024,Laptops,SKU0041,Budget,555.05,7.81,511.7,54,4,Wrong Item,27631.8,12716.14,3.2,Female,B2B,Cash,East,158,27,No,4,9,274.64,No,Supplier 4,0.829,271.13,90.31,0.9688,1177,FedEx,Air
ORD1042,23/04/2024,28/04/2024,08/05/2024,Tablets,SKU0042,Budget,169.77,1.83,166.66,347,45,Defective,57831.02,25906.86,1.8,Unknown,B2B,Cash,South,93,347,Yes,17,10,250,Yes,Supplier 1,0.41,91.28,17.11,8.2885,994,DHL,Air
ORD1043,30/04/2023,05/05/2023,15/05/2023,Smartphones,SKU0043,Premium,649.39,6.33,608.28,272,3,Damaged in Shipping,165452.16,95684.05,4.5,Unknown,Direct Sales,Credit Card,Central,154,227,Yes,11,10,78.99,Yes,Supplier 4,0.94,256.21,89.87,1.0128,920,USPS,Road
ORD1044,17/01/2023,18/01/2023,25/01/2023,Smartphones,SKU0044,Mid-Range,408.11,8.49,373.46,348,50,Damaged in Shipping,129964.08,65097.44,1.6,Female,Online,Invoice,West,209,302,Yes,11,7,250,Yes,Supplier 2,0.372,185.68,15.47,8.4525,940,FedEx,Air
ORD1045,05/05/2022,08/05/2022,18/05/2022,Smartwatches,SKU0045,Premium,786.01,5.48,742.94,287,17,Defective,213223.78,125723.96,3.5,Non-binary,Wholesale,Digital Wallet,Central,167,191,Yes,4,10,5,No,Supplier 1,0.783,304.86,76.28,2.3722,477,USPS,Road
ORD1046,21/07/2023,26/07/2023,01/08/2023,Headphones,SKU0046,Premium,462.21,0.38,460.45,266,24,Damaged in Shipping,122479.7,69223.64,2.9,Non-binary,Retail Store,Digital Wallet,East,201,133,No,7,6,80,Yes,Supplier 5,0.607,199.91,47.38,5.2621,1035,UPS,Sea
ORD1047,24/09/2023,26/09/2023,30/09/2023,Headphones,SKU0047,Mid-Range,103.54,10.58,92.59,158,7,Wrong Item,14629.22,9035.2,4.2,Unknown,Wholesale,Bank Transfer,South,66,111,Yes,21,4,11.88,Yes,Supplier 3,0.674,35.33,41.88,5.8123,622,DHL,Road
ORD1048,03/01/2024,08/01/2024,10/01/2024,Tablets,SKU0048,Premium,925.6,13.39,801.66,26,4,Defective,20843.16,7836.29,1.7,Male,Retail Store,Invoice,South,233,10,No,7,2,147.01,Yes,Supplier 2,0.316,494.61,1.66,9.8344,272,DHL,Sea
ORD1049,13/04/2022,14/04/2022,22/04/2022,Laptops,SKU0049,Mid-Range,710.34,1.12,702.38,23,0,,16154.74,10328.42,4.9,Female,B2B,Digital Wallet,North,176,18,No,15,8,80,Yes,Supplier 1,0.783,249.84,48.56,5.144,277,FedEx,Sea
ORD1050,16/03/2023,17/03/2023,24/03/2023,Smartwatches,SKU0050,Premium,618.17,5.09,586.71,121,4,Wrong Item,70991.91,47723.77,4.4,Male,Retail Store,Cash,South,126,93,No,4,7,645.98,No,Supplier 2,0.761,186.96,57.97,4.203,260,FedEx,Air
ORD1051,16/03/2023,17/03/2023,20/03/2023,Laptops,SKU0051,Mid-Range,672.22,9.94,605.4,42,5,Defective,25426.8,11171.89,2.1,Unknown,Direct Sales,Cash,East,107,18,No,8,3,88.73,Yes,Supplier 1,0.719,337.29,87.18,1.2821,647,FedEx,Sea
ORD1052,10/06/2023,12/06/2023,17/06/2023,Tablets,SKU0052,Budget,167.83,3.58,161.82,176,19,Defective,28480.32,14452.35,2.3,Female,Direct Sales,Digital Wallet,East,287,170,No,19,5,6.05,Yes,Supplier 3,0.612,79.67,57.15,4.2854,1124,Blue Dart,Road
ORD1053,01/12/2023,03/12/2023,13/12/2023,Smartwatches,SKU0053,Mid-Range,182.44,10.47,163.34,433,6,Wrong Item,70726.22,30052.98,4.4,Male,B2B,Invoice,West,75,375,Yes,12,10,23.2,Yes,Supplier 2,0.628,93.88,14.23,8.5766,534,OnTrac,Road
ORD1054,11/05/2022,13/05/2022,19/05/2022,Headphones,SKU0054,Mid-Range,85.5,1.16,84.51,396,11,Damaged in Shipping,33465.96,20517.68,4.7,Non-binary,Online,Bank Transfer,Central,274,317,Yes,10,6,474.28,Yes,Supplier 3,0.873,31.5,81.79,1.8207,704,DHL,Air
ORD1055,13/05/2023,15/05/2023,25/05/2023,Tablets,SKU0055,Premium,613.48,1.35,605.2,391,4,Defective,236633.2,112241.61,4.6,Male,Online,Bank Transfer,Central,138,143,Yes,9,10,331.2,No,Supplier 4,0.697,317.29,30.02,6.9979,556,USPS,Air
ORD1056,12/08/2024,17/08/2024,28/08/2024,Smartwatches,SKU0056,Budget,115.68,7.63,106.85,450,31,Not as Described,48082.5,26838.12,3.7,Male,Online,Digital Wallet,North,25,495,Yes,22,11,251.88,Yes,Supplier 2,0.523,46.65,15.37,8.4631,488,FedEx,Air
ORD1057,04/09/2024,05/09/2024,08/09/2024,Laptops,SKU0057,Budget,443.02,0.76,439.65,142,5,Defective,62430.3,29191.16,4.2,Unknown,B2B,Digital Wallet,Central,284,180,No,23,3,12.56,Yes,Supplier 1,0.715,233.99,46.43,5.3572,958,UPS,Road
ORD1058,20/10/2022,24/10/2022,31/10/2022,Smartphones,SKU0058,Budget,142.19,11.63,125.65,90,11,Damaged in Shipping,11308.5,7005.6,1.9,Unknown,Retail Store,Digital Wallet,Central,158,57,No,16,7,81.9,Yes,Supplier 1,0.601,46.9,64.11,3.5887,804,UPS,Sea
ORD1059,05/03/2024,06/03/2024,11/03/2024,Smartphones,SKU0059,Budget,141.21,5.91,132.86,227,2,Defective,30159.22,16659.12,4.7,Unknown,Online,Cash,North,170,265,Yes,22,5,399.93,Yes,Supplier 1,0.608,57.71,7.33,9.2674,417,FedEx,Air
ORD1060,09/08/2022,11/08/2022,16/08/2022,Headphones,SKU0060,Budget,58.59,2.68,57.02,341,15,Damaged in Shipping,19443.82,8955.46,3.8,Non-binary,Retail Store,Invoice,Central,175,341,Yes,13,5,12.84,Yes,Supplier 5,0.838,30.72,82.07,1.7927,1167,DHL,Road
ORD1061,10/09/2023,11/09/2023,17/09/2023,Smartwatches,SKU0061,Budget,121.57,0.34,121.16,141,17,Damaged in Shipping,17083.56,8789.04,2.3,Unknown,B2B,Cash,East,172,118,No,16,6,106.65,Yes,Supplier 2,0.633,58.07,67.78,3.2224,441,UPS,Sea
ORD1062,27/12/2022,31/12/2022,06/01/2023,Smartwatches,SKU0062,Premium,689.11,5.03,654.45,461,35,Changed Mind,301701.45,129718.82,3.4,Male,Retail Store,Invoice,South,56,231,Yes,12,6,398.43,Yes,Supplier 4,0.673,372.2,55.92,4.4076,543,FedEx,Air
ORD1063,01/07/2022,03/07/2022,14/07/2022,Laptops,SKU0063,Premium,1716.84,10.83,1530.91,319,1,Defective,488360.29,204603.39,5,Female,B2B,Cash,South,235,319,Yes,18,11,130.81,Yes,Supplier 1,0.745,889.11,37.89,6.2113,1021,Aramex,Sea
ORD1064,26/02/2023,02/03/2023,10/03/2023,Headphones,SKU0064,Budget,77.84,0.58,77.39,475,60,Damaged in Shipping,36760.25,19755.88,2.3,Female,Direct Sales,Cash,South,144,522,Yes,15,8,251.12,Yes,Supplier 2,0.577,35.27,57.49,4.2508,751,DHL,Air
ORD1065,19/12/2022,20/12/2022,27/12/2022,Laptops,SKU0065,Mid-Range,766.94,4.6,731.66,243,3,Wrong Item,177793.38,103760.44,5,Non-binary,Direct Sales,Credit Card,South,213,130,No,6,7,97.76,No,Supplier 1,0.974,304.26,98.65,0.1348,479,Aramex,Sea
ORD1066,31/01/2023,02/02/2023,07/02/2023,Tablets,SKU0066,Budget,172.43,12.09,151.58,158,14,Defective,23949.64,14563.04,3.1,Female,Retail Store,Digital Wallet,South,253,132,No,17,5,17.2,Yes,Supplier 4,0.585,59.3,41.56,5.8442,573,DHL,Road
ORD1067,29/11/2022,01/12/2022,05/12/2022,Laptops,SKU0067,Premium,2201.77,7.39,2039.06,112,15,Defective,228374.72,93628.28,2,Non-binary,Online,Cash,East,213,97,No,8,4,23.88,Yes,Supplier 3,0.333,1202.88,0.11,9.9895,820,FedEx,Road
ORD1068,28/02/2022,03/03/2022,11/03/2022,Laptops,SKU0068,Premium,2044.97,8.17,1877.9,213,14,Wrong Item,399992.7,259401.33,3.2,Female,B2B,Credit Card,Central,189,220,Yes,17,8,643.98,Yes,Supplier 1,0.848,657.03,94.82,0.5185,1042,UPS,Air
ORD1069,10/07/2024,12/07/2024,24/07/2024,Headphones,SKU0069,Premium,404.47,14.96,343.96,187,20,Not as Described,64320.52,31196.12,2.5,Female,Retail Store,Credit Card,East,265,150,No,19,12,266.63,Yes,Supplier 3,0.772,175.71,95.65,0.4353,779,Blue Dart,Air
ORD1070,29/05/2023,30/05/2023,31/05/2023,Smartphones,SKU0070,Mid-Range,283.68,13.15,246.38,323,18,Wrong Item,79580.74,38715.69,3.9,Non-binary,Retail Store,Cash,South,158,183,Yes,7,1,12.01,Yes,Supplier 1,0.825,126.48,84.09,1.5914,1054,Aramex,Road
ORD1071,28/01/2022,31/01/2022,07/02/2022,Headphones,SKU0071,Premium,437.16,1.05,432.57,454,35,Defective,196386.78,98610.73,3.3,Non-binary,Online,Digital Wallet,South,175,424,Yes,12,7,29.85,Yes,Supplier 1,0.559,215.3,28.34,7.1657,1107,DHL,Road
ORD1072,01/12/2022,02/12/2022,03/12/2022,Tablets,SKU0072,Budget,248.25,13.42,214.93,323,40,Defective,69422.39,32455.68,2.4,Male,Direct Sales,Cash,Central,151,312,Yes,16,1,5.82,Yes,Supplier 1,0.42,114.43,17.09,8.2913,1076,UPS,Road
ORD1073,25/03/2022,28/03/2022,06/04/2022,Laptops,SKU0073,Premium,1473.62,2.67,1434.27,446,23,Defective,639684.42,289434.7,3.8,Male,Direct Sales,Cash,North,239,580,Yes,23,9,260.14,Yes,Supplier 4,0.575,784.73,19.51,8.0493,720,DHL,Air
ORD1074,01/12/2022,02/12/2022,13/12/2022,Headphones,SKU0074,Mid-Range,90.62,4.81,86.26,311,34,Damaged in Shipping,26826.86,11135.71,2.5,Male,B2B,Invoice,West,178,187,Yes,15,11,250,Yes,Supplier 1,0.679,49.65,75.04,2.4963,903,OnTrac,Air
ORD1075,04/10/2024,08/10/2024,13/10/2024,Smartwatches,SKU0075,Premium,550.1,4.54,525.13,208,5,Changed Mind,109227.04,63875.96,4.5,Male,Online,Bank Transfer,East,199,284,Yes,22,5,327.4,Yes,Supplier 3,0.905,216.46,89.34,1.0658,788,FedEx,Air
ORD1076,26/11/2024,28/11/2024,03/12/2024,Smartwatches,SKU0076,Budget,127.06,0.77,126.08,160,8,Changed Mind,20172.8,9353.31,3.5,Male,Direct Sales,Invoice,South,108,112,Yes,9,5,37.09,Yes,Supplier 5,0.786,67.39,73.05,2.6954,315,FedEx,Road
ORD1077,05/08/2023,06/08/2023,10/08/2023,Laptops,SKU0077,Budget,406.08,8.56,371.32,329,37,Not as Described,122164.28,68955.74,2.5,Unknown,Wholesale,Cash,North,265,252,No,6,4,45.43,Yes,Supplier 5,0.534,161.59,39.76,6.0236,1004,FedEx,Road
ORD1078,01/07/2024,03/07/2024,16/07/2024,Laptops,SKU0078,Budget,331.16,5.44,313.14,495,65,Defective,155004.3,83181.59,2.1,Non-binary,Direct Sales,Credit Card,North,153,214,Yes,5,13,97.21,No,Supplier 1,0.601,144.9,65.95,3.4053,873,UPS,Sea
ORD1079,14/04/2023,19/04/2023,20/04/2023,Smartphones,SKU0079,Premium,897.11,11.86,790.71,177,9,Defective,139955.67,57266.47,3.8,Male,Retail Store,Bank Transfer,East,192,83,No,10,1,39.05,Yes,Supplier 3,0.643,466.95,37.11,6.2894,388,UPS,Road
ORD1080,09/04/2024,11/04/2024,23/04/2024,Laptops,SKU0080,Premium,1311.08,2.52,1278.04,160,7,Changed Mind,204486.4,116313.4,3.7,Non-binary,Direct Sales,Invoice,Central,208,133,No,23,12,459.4,Yes,Supplier 3,0.884,548.21,93.57,0.6429,623,USPS,Air
ORD1081,01/09/2023,06/09/2023,18/09/2023,Headphones,SKU0081,Budget,71.41,13.26,61.94,253,13,Defective,15670.82,7379.53,3.7,Non-binary,Retail Store,Bank Transfer,East,224,219,No,18,12,56.14,Yes,Supplier 5,0.511,32.55,4.42,9.5584,718,Blue Dart,Road
ORD1082,19/02/2022,24/02/2022,06/03/2022,Headphones,SKU0082,Premium,297.71,4.92,283.06,16,2,Not as Described,4528.96,2317.37,2.6,Unknown,Online,Invoice,South,114,14,No,13,10,89.99,Yes,Supplier 5,0.455,132.6,17.6,8.2399,670,Aramex,Sea
ORD1083,19/09/2024,20/09/2024,29/09/2024,Smartphones,SKU0083,Budget,162.55,7.82,149.84,32,5,Defective,4794.88,2288.24,1.8,Male,Retail Store,Bank Transfer,Central,158,7,No,7,9,250,No,Supplier 3,0.421,70.52,25.97,7.4034,455,UPS,Air
ORD1084,08/02/2022,12/02/2022,19/02/2022,Smartwatches,SKU0084,Budget,70.74,5.36,66.95,201,9,Changed Mind,13456.95,7940.75,3.8,Non-binary,B2B,Credit Card,Central,71,114,Yes,6,7,250,No,Supplier 3,0.766,26.2,63.37,3.6626,1115,UPS,Air
ORD1085,27/06/2023,29/06/2023,10/07/2023,Smartwatches,SKU0085,Mid-Range,328.64,7.04,305.5,482,10,Defective,147251,63523.17,4.6,Unknown,B2B,Cash,Central,92,386,Yes,7,11,129.75,No,Supplier 3,0.672,173.44,28.02,7.198,603,DHL,Sea
ORD1086,11/09/2023,16/09/2023,25/09/2023,Tablets,SKU0086,Budget,219.25,1.35,216.29,183,7,Wrong Item,39581.07,25285.88,4.1,Male,Direct Sales,Credit Card,North,135,183,Yes,12,9,129.16,Yes,Supplier 5,0.845,77.41,79.85,2.0148,555,DHL,Sea
ORD1087,03/02/2024,07/02/2024,09/02/2024,Tablets,SKU0087,Mid-Range,566.11,7.04,526.26,100,5,Damaged in Shipping,52626,23048.47,3.8,Unknown,Wholesale,Credit Card,East,111,117,Yes,18,2,26.53,Yes,Supplier 5,0.858,295.51,91.61,0.8391,1143,FedEx,Road
ORD1088,05/06/2022,09/06/2022,21/06/2022,Smartwatches,SKU0088,Mid-Range,292.91,3.82,281.72,123,17,Defective,34651.56,20068,1.5,Male,Online,Credit Card,West,49,102,Yes,8,12,251.6,No,Supplier 2,0.696,116.52,92.83,0.7171,471,OnTrac,Air
ORD1089,31/08/2022,02/09/2022,05/09/2022,Tablets,SKU0089,Budget,178.69,13.29,154.94,469,33,Defective,72666.86,38307.65,3.6,Unknown,Online,Invoice,North,216,344,Yes,3,3,80,Yes,Supplier 2,0.604,73.09,36.23,6.3771,732,FedEx,Sea
